FID,codigo,empreendimento,subeixo,tipo,orgao_responsavel,executor,unidade_federativa,municipio,investimento_previsto,observacao,estagio,data_de_referencia,geometria,count
cidadeshistoricas.fid-26cf0271_1568a41ff06_-2645,65221,Restauração da Igreja de São Pedro dos Clérigos,Cidade Melhor,Cidades Históricas,Ministério da Cultura,IPHAN,PE,RECIFE,--,,Em obras,30 de Junho de 2015,POINT (-34.881 -8.054),0
cidadeshistoricas.fid-26cf0271_1568a41ff06_-2644,65218,Restauração da Igreja Matriz de Santo Antônio,Cidade Melhor,Cidades Históricas,Ministério da Cultura,IPHAN,PE,RECIFE,--,,Em obras,30 de Junho de 2015,POINT (-34.881 -8.054),0
cidadeshistoricas.fid-26cf0271_1568a41ff06_-2643,65219,Restauração da Igreja da Conceição dos Militares,Cidade Melhor,Cidades Históricas,Ministério da Cultura,IPHAN,PE,RECIFE,--,,Em obras,30 de Junho de 2015,POINT (-34.881 -8.054),0
cidadeshistoricas.fid-26cf0271_1568a41ff06_-2642,64917,Restauração do Teatro Sete de Setembro,Cidade Melhor,Cidades Históricas,Ministério da Cultura,IPHAN,AL,PENEDO,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2015,POINT (-36.586 -10.29),0
cidadeshistoricas.fid-26cf0271_1568a41ff06_-2641,64918,Restauração do Cine Penedo,Cidade Melhor,Cidades Históricas,Ministério da Cultura,IPHAN,AL,PENEDO,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2015,POINT (-36.586 -10.29),0
cidadeshistoricas.fid-26cf0271_1568a41ff06_-2640,64919,Restauração do Casarão do Montepio dos Artistas,Cidade Melhor,Cidades Históricas,Ministério da Cultura,IPHAN,AL,PENEDO,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2015,POINT (-36.586 -10.29),0
cidadeshistoricas.fid-26cf0271_1568a41ff06_-263f,64920,Restauração do Círculo Operário - Escola de Santeiros,Cidade Melhor,Cidades Históricas,Ministério da Cultura,IPHAN,AL,PENEDO,--,,Em obras,30 de Junho de 2015,POINT (-36.586 -10.29),0
cidadeshistoricas.fid-26cf0271_1568a41ff06_-263e,64921,Restauração do Casarão da Biblioteca de Penedo,Cidade Melhor,Cidades Históricas,Ministério da Cultura,IPHAN,AL,PENEDO,--,,Em obras,30 de Junho de 2015,POINT (-36.586 -10.29),0
cidadeshistoricas.fid-26cf0271_1568a41ff06_-263d,64922,Restauração dos galpões da orla do rio  - implantação da  Escola Náutica- Oficina e Marina Pública,Cidade Melhor,Cidades Históricas,Ministério da Cultura,IPHAN,AL,PENEDO,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Em licitação de projeto,30 de Junho de 2015,POINT (-36.586 -10.29),0
cidadeshistoricas.fid-26cf0271_1568a41ff06_-263c,64923,Implantação do Museu de Lapinhas e religiosidade - Igreja  de S. Gonçalo,Cidade Melhor,Cidades Históricas,Ministério da Cultura,IPHAN,AL,PENEDO,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2015,POINT (-36.586 -10.29),0
cidadeshistoricas.fid-26cf0271_1568a41ff06_-263b,64924,Restauração da Casa São Francisco - Implantação do Conservatório de Música,Cidade Melhor,Cidades Históricas,Ministério da Cultura,IPHAN,AL,PENEDO,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2015,POINT (-36.586 -10.29),0
cidadeshistoricas.fid-26cf0271_1568a41ff06_-263a,64925,Restauração do Chalet dos Loureiros - Implantação do Centro de Referência do São Francisco,Cidade Melhor,Cidades Históricas,Ministério da Cultura,IPHAN,AL,PENEDO,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2015,POINT (-36.586 -10.29),0
cidadeshistoricas.fid-26cf0271_1568a41ff06_-2639,64926,Requalificação urbanística do Largo de S. Gonçalo,Cidade Melhor,Cidades Históricas,Ministério da Cultura,IPHAN,AL,PENEDO,--,,Em obras,30 de Junho de 2015,POINT (-36.586 -10.29),0
cidadeshistoricas.fid-26cf0271_1568a41ff06_-2638,64927,Recuperação do Cais da Marina de Penedo,Cidade Melhor,Cidades Históricas,Ministério da Cultura,IPHAN,AL,PENEDO,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2015,POINT (-36.586 -10.29),0
cidadeshistoricas.fid-26cf0271_1568a41ff06_-2637,64928,Requalificação do Largo da Igreja Nosso Senhor do Bonfim,Cidade Melhor,Cidades Históricas,Ministério da Cultura,IPHAN,AL,MARECHAL DEODORO,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Em licitação de projeto,30 de Junho de 2015,POINT (-35.895 -9.71),0
cidadeshistoricas.fid-26cf0271_1568a41ff06_-2636,64929,Requalificação do Largo da Igreja da Matriz,Cidade Melhor,Cidades Históricas,Ministério da Cultura,IPHAN,AL,MARECHAL DEODORO,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2015,POINT (-35.895 -9.71),0
cidadeshistoricas.fid-26cf0271_1568a41ff06_-2635,64930,Requalificação do Largo da Igreja do Carmo,Cidade Melhor,Cidades Históricas,Ministério da Cultura,IPHAN,AL,MARECHAL DEODORO,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Em licitação de projeto,30 de Junho de 2015,POINT (-35.895 -9.71),0
cidadeshistoricas.fid-26cf0271_1568a41ff06_-2634,64931,Restauração da Ordem 3ª de São Francisco - implantação do Conservatório de Música,Cidade Melhor,Cidades Históricas,Ministério da Cultura,Município,AL,MARECHAL DEODORO,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2015,POINT (-35.895 -9.71),0
cidadeshistoricas.fid-26cf0271_1568a41ff06_-2633,64932,Restauração da Igreja de N.S. do Carmo,Cidade Melhor,Cidades Históricas,Ministério da Cultura,Município,AL,MARECHAL DEODORO,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2015,POINT (-35.895 -9.71),0
cidadeshistoricas.fid-26cf0271_1568a41ff06_-2632,64933,Restauração da Igreja de N.S. do Rosário,Cidade Melhor,Cidades Históricas,Ministério da Cultura,Município,AL,MARECHAL DEODORO,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2015,POINT (-35.895 -9.71),0
cidadeshistoricas.fid-26cf0271_1568a41ff06_-2631,64934,Restauração da Igreja do Amparo,Cidade Melhor,Cidades Históricas,Ministério da Cultura,Município,AL,MARECHAL DEODORO,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2015,POINT (-35.895 -9.71),0
cidadeshistoricas.fid-26cf0271_1568a41ff06_-2630,64935,Restauração do Museu de Arte Sacra - Convento,Cidade Melhor,Cidades Históricas,Ministério da Cultura,IPHAN,AL,MARECHAL DEODORO,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2015,POINT (-35.895 -9.71),0
cidadeshistoricas.fid-26cf0271_1568a41ff06_-262f,64936,Requalificação urbanística da Praça XV de Novembro- jardins- entorno e restauração do Relógio Municipal (escadaria-  trecho da Av. Eduardo Ribeiro- entre a av. 7 de Setembro e Alfândega) -,Cidade Melhor,Cidades Históricas,Ministério da Cultura,Município,AM,MANAUS,--,,Em obras,30 de Junho de 2015,POINT (-60.025 -3.102),0
cidadeshistoricas.fid-26cf0271_1568a41ff06_-262e,64938,Restauração do Pavilhão Universal - desmontagem e retirada da Praça Tenreiro Aranha para implantação na Praça Adalberto Vale,Cidade Melhor,Cidades Históricas,Ministério da Cultura,Município,AM,MANAUS,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2015,POINT (-60.025 -3.102),0
cidadeshistoricas.fid-26cf0271_1568a41ff06_-262d,64939,Requalificação urbanística da Praça Terneiro Aranha  -acessibilidade- iluminação- sinalização- mobiliario urbano e paisagismo,Cidade Melhor,Cidades Históricas,Ministério da Cultura,Município,AM,MANAUS,--,,Em obras,30 de Junho de 2015,POINT (-60.025 -3.102),0
cidadeshistoricas.fid-26cf0271_1568a41ff06_-262c,64940,Requalificação urbanística da Praça D. Pedro II - Chafariz e Coreto- drenagem- irrigação- pavimentação- sinalização- mobiliário urbano e paisagismo,Cidade Melhor,Cidades Históricas,Ministério da Cultura,Município,AM,MANAUS,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2015,POINT (-60.025 -3.102),0
cidadeshistoricas.fid-26cf0271_1568a41ff06_-262b,64941,Requalificação urbanística do entorno do Mercado Municipal Adolpho Lisboa - recuperação da pavimentação- acessibilidade- iluminação- sinalização- mobiliario urbano e paisagismo (ruas dos Barés- Barão de São Domingos- Miranda Leão- Av. Manaus Moderna e Pça do Mercado,Cidade Melhor,Cidades Históricas,Ministério da Cultura,Município,AM,MANAUS,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Em licitação de projeto,30 de Junho de 2015,POINT (-60.025 -3.102),0
cidadeshistoricas.fid-26cf0271_1568a41ff06_-262a,64942,Restauração do Casarão da Biblioteca Municipal,Cidade Melhor,Cidades Históricas,Ministério da Cultura,Município,AM,MANAUS,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2015,POINT (-60.025 -3.102),0
cidadeshistoricas.fid-26cf0271_1568a41ff06_-2629,64943,Restauração da Antiga Câmara Municipal,Cidade Melhor,Cidades Históricas,Ministério da Cultura,Município,AM,MANAUS,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2015,POINT (-60.025 -3.102),0
cidadeshistoricas.fid-26cf0271_1568a41ff06_-2628,64944,Restauração do Antigo Hotel Cassina - implantação do Centro de Arte Popular,Cidade Melhor,Cidades Históricas,Ministério da Cultura,Município,AM,MANAUS,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2015,POINT (-60.025 -3.102),0
cidadeshistoricas.fid-26cf0271_1568a41ff06_-2627,64945,Restauração do Antigo edifício do Corpo de Bombeiros - implantação da Pinacoteca Municipal,Cidade Melhor,Cidades Históricas,Ministério da Cultura,Município,AM,MANAUS,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2015,POINT (-60.025 -3.102),0
cidadeshistoricas.fid-26cf0271_1568a41ff06_-2626,64946,Restauração da Biblioteca Juracy Magalhães Júnior,Cidade Melhor,Cidades Históricas,Ministério da Cultura,IPHAN,BA,ITAPARICA,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2015,POINT (-38.679 -12.888),0
cidadeshistoricas.fid-26cf0271_1568a41ff06_-2625,64947,Restauração da Igreja Matriz do Santíssimo Sacramento,Cidade Melhor,Cidades Históricas,Ministério da Cultura,IPHAN,BA,ITAPARICA,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2015,POINT (-38.679 -12.888),0
cidadeshistoricas.fid-26cf0271_1568a41ff06_-2624,64948,Requalificação urbanística da Praça do Mercado,Cidade Melhor,Cidades Históricas,Ministério da Cultura,IPHAN,BA,ITAPARICA,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2015,POINT (-38.679 -12.888),0
